cruise;name;latitude;longitude
PE477;PE477-1 ;53.356861;3.418833
PE477;PE477-2 ;53.827278;2.285889
PE477;PE477-3 ;54.464889;0.884639
PE477;PE477-4 ;54.414083;0.084694
PE477;PE477-5 ;55.045472;1.233139
PE477;PE477-6 ;55.549833;1.346333
PE477;PE477-7 ;54.923556;3.701306
PE486;PE486-1;53.677278;4.131944
PE486;PE486-2;54.469083;4.222222
PE486;PE486-3;54.992528;1.959
PE486;PE486-4;55.273417;0.762167
PE486;PE486-5;54.019417;2.08925
PE486;PE486-6;54.974778;1.514028
PE486;PE486-7;54.970917;1.493556
PE486;PE486-8;54.102694;1.151583
